Molecule,Adverse event,Window,k,OR [95% CI],log(OR) [95% CI],p,Stars,τ²,I²,Q,p(Q),Status
MDMA,dissociation,session,3,"1.11 [0.33, 3.77]","0.104 [-1.119, 1.328]",0.867,,0,0,1.3664078878130999,0.505,ok
MDMA,dizziness,session,7,"5.31 [2.55, 11.06] ***","1.669 [0.935, 2.403] ***",<0.001,***,2.0898047504536246e-7,2.038578411178174e-5,5.865144452949316,0.438,ok
MDMA,dry mouth,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,emotional disorder,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,fatigue,session,11,"2.76 [1.46, 5.23] **","1.016 [0.377, 1.655] **",0.002,**,0.04882350385801066,4.113373749759461,8.812923631886912,0.550,ok
MDMA,feeling abnormal,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,feeling cold,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,feeling hot,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,feeling jittery,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,flushing,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,genitourinary,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,headache,session,11,"5.03 [1.83, 13.80] **","1.615 [0.605, 2.624] **",0.002,**,1.6099170743657822,57.867407990303285,25.02959715544511,0.005,ok
MDMA,heart rate increased,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,hyperhidrosis,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,hypoaesthesia,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,impaired gait,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,infectious,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,insomnia,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,irritability,session,5,"0.64 [0.24, 1.73]","-0.448 [-1.441, 0.546]",0.377,,0,0,2.4492484392454195,0.654,ok
MDMA,jaw tension,session,10,"3.50 [1.70, 7.18] ***","1.252 [0.533, 1.972] ***",<0.001,***,0,0,7.6623077572119165,0.569,ok
MDMA,lack of appetite,session,8,"2.97 [1.04, 8.52] *","1.089 [0.036, 2.142] *",0.043,*,1.069132266945932,46.72978871533349,13.205597071931834,0.067,ok
MDMA,muscle spasms,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,muscle tension,session,7,"2.42 [0.68, 8.55]","0.882 [-0.382, 2.146]",0.172,,1.588513339902132,55.636143568062536,13.395729600454452,0.037,ok
MDMA,muscle tightness,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,myalgia,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,mydriasis,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,nausea,session,9,"4.02 [1.74, 9.28] **","1.392 [0.556, 2.228] **",0.001,**,0.4093125033634965,25.69710530729469,10.057086477043072,0.261,ok
MDMA,neck pain,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,nightmare,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,nystagmus,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,ophthalmological,session,4,"1.86 [0.35, 9.79]","0.619 [-1.043, 2.282]",0.465,,1.275928563667552,44.51204897129897,5.326295270384001,0.149,ok
MDMA,pain,session,6,"1.31 [0.36, 4.69]","0.268 [-1.010, 1.546]",0.681,,0.6296583083322144,24.762247795988415,5.868241712503336,0.319,ok
MDMA,pain in jaw,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,palpitations,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,panic attack,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,paraesthesia,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,perspiration,session,6,"1.50 [0.46, 4.92]","0.405 [-0.784, 1.593]",0.504,,0.9463311868668333,43.11614046779802,8.755707236989554,0.119,ok
MDMA,restlessness,session,8,"2.29 [0.97, 5.39]","0.827 [-0.031, 1.685]",0.059,,0.3503476138996513,23.186779901786203,8.617971457634853,0.281,ok
MDMA,rumination,session,5,"1.43 [0.50, 4.04]","0.357 [-0.684, 1.397]",0.502,,4.91831347119799e-7,3.424111831087369e-5,4.087964149467312,0.394,ok
MDMA,sleep disorder,session,12,"3.61 [1.83, 7.11] ***","1.284 [0.607, 1.962] ***",<0.001,***,0.0454619321161328,3.156352404048041,11.435512043759594,0.408,ok
MDMA,suicidal ideation,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,temperature perception disturbances,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,thirst,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,tremor,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,upper respiratory tract infection,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,vision blurred,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,visual impairment,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,vomiting,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,weakness,session,3,"0.95 [0.22, 4.22]","-0.047 [-1.532, 1.439]",0.951,,0,0,1.3953420965377024,0.498,ok
MDMA,xerostomia,session,4,"2.53 [0.81, 7.95]","0.928 [-0.217, 2.073]",0.112,,0,0,2.475567256108889,0.480,ok
PSILOCYBIN,abdominal pain,session,4,"2.84 [0.71, 11.40]","1.045 [-0.343, 2.433]",0.140,,0,0,1.5205539791933769,0.678,ok
PSILOCYBIN,alcohol intoxication,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,anemia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,anger,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,anxiety,session,7,"3.13 [0.32, 31.01]","1.140 [-1.155, 3.434]",0.330,,7.427434011489256,78.08467079512617,26.320156390828394,<0.001,ok
PSILOCYBIN,any adverse event,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,arthralgia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,back pain,session,3,"2.69 [0.40, 18.20]","0.989 [-0.924, 2.902]",0.311,,0.32886748093092316,11.22310920030204,2.0182021504558256,0.365,ok
PSILOCYBIN,biopsy,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,bronchitis,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,bronchitis bacterial,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,cataract,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,constipation,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,contact dermatitis,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,corona virus infection,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,cough,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,cystitis,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,depressed mood,session,2,"9.56 [1.19, 76.72] *","2.257 [0.174, 4.340] *",0.034,*,0,0,0.0630087977152026,0.802,ok
PSILOCYBIN,depression,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,diarrhea,session,3,"0.16 [0.00, 5.78]","-1.828 [-5.409, 1.754]",0.317,,7.822741264558793,78.52854452671397,10.1033121900725,0.006,ok
PSILOCYBIN,diverticulitis,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,dizziness,session,4,"3.79 [0.85, 16.85]","1.331 [-0.162, 2.824]",0.081,,0,0,1.8066482084063997,0.613,ok
PSILOCYBIN,dyspepsia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,dysphoria,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,dyspnea,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,edema,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,endodontic procedure,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,euphoric mood,session,2,"10.86 [1.37, 85.92] *","2.385 [0.316, 4.453] *",0.024,*,0,0,0.016259740964682357,0.899,ok
PSILOCYBIN,eye infection,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,fatigue,session,5,"1.19 [0.08, 18.28]","0.173 [-2.560, 2.906]",0.901,,7.918474974058273,82.5460973840181,28.740667287586927,<0.001,ok
PSILOCYBIN,feeling abnormal,session,2,"0.14 [0.00, 174.38]","-1.977 [-9.116, 5.161]",0.587,,24.168699115104502,91.09421617507857,11.228657911071892,<0.001,ok
PSILOCYBIN,food allergy,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,food poisoning,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,fungal infection,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,gingivitis,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,headache,session,9,"10.46 [2.98, 36.67] ***","2.348 [1.093, 3.602] ***",<0.001,***,2.3128172574082453,71.28967309001781,29.320997565390854,<0.001,ok
PSILOCYBIN,hospitalisation,session,2,"2.01 [0.17, 24.21]","0.697 [-1.792, 3.187]",0.583,,0,0,0.20153777567450176,0.653,ok
PSILOCYBIN,hyperglycemia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,hypertension,session,4,"7.64 [0.67, 87.55]","2.033 [-0.406, 4.472]",0.102,,4.3016340910329065,69.70036066896412,9.529744169864445,0.023,ok
PSILOCYBIN,hyperventilation,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,hypoesthesia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,hyponatremia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,illusion,session,2,"2.29 [1.03, 5.10] *","0.828 [0.025, 1.630] *",0.043,*,0,0,0.425578153860605,0.514,ok
PSILOCYBIN,influenza,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,influenza like illness,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,intentional self‑injury,session,2,"5.27 [0.61, 45.60]","1.661 [-0.497, 3.820]",0.131,,0,0,5.788131969876221e-4,0.981,ok
PSILOCYBIN,irritability,session,2,"7.24 [0.87, 60.11]","1.979 [-0.138, 4.096]",0.067,,0,0,0.06731654878937196,0.795,ok
PSILOCYBIN,limb injury,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,lower resp. tract congestion,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,malignant melanoma,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,mallory-weiss syndrom,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,memory impairment,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,migraine,session,3,"0.22 [0.01, 4.12]","-1.536 [-4.489, 1.416]",0.308,,4.938451838275631,73.46222378653496,8.182069553942096,0.017,ok
PSILOCYBIN,mood altered,session,2,"12.25 [1.55, 96.83] *","2.506 [0.438, 4.573] *",0.018,*,0,0,0.18224715450616885,0.669,ok
PSILOCYBIN,muscle strain,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,musculoskeletal pain,session,1,,,,,NA,NA,NA,,insufficient_k
