molecule,time_window,ae_term,k,log_or,se,z,pval,ci_lb,ci_ub,tau2,I2,QE,QEp,or,or_ci_lb,or_ci_ub,stars,pval_fmt,QEp_fmt,status,log_or_ci,or_ci
AYAHUASCA,session,tachycardia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
AYAHUASCA,session,vomiting,2,0.39527295090952,0.9919388686848777,0.39848519237236546,0.6902725712751417,-1.548891506578246,2.339437408397286,1.1686011017958424,58.87488485387112,2.4316041339865544,0.11891115826775137,1.4847894102358776,0.2124833797583692,10.375397808786836,,0.690,0.119,ok,"0.395 [-1.549, 2.339]","1.48 [0.21, 10.38]"
LSD,follow_up,Balance_disorder,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,Fatigue,4,1.0609599915615615,0.8479302489932561,1.2512349840346357,0.2108487580775338,-0.6009527578673006,2.7228727409904234,0,0,0.413400444696687,0.937460575356912,2.889143211503265,0.5482890005021928,15.22399407781301,,0.211,0.937,ok,"1.061 [-0.601, 2.723]","2.89 [0.55, 15.22]"
LSD,follow_up,Mydriasis,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,Pseudo_hallucination,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,Tremor,4,0.35352381416318923,0.9497084599514364,0.3722445666970965,0.7097107669721846,-1.507870563154626,2.2149181914810048,0,0,0.30591486683215174,0.9589122421560294,1.4240768997472486,0.2213808930199491,9.160659660953616,,0.710,0.959,ok,"0.354 [-1.508, 2.215]","1.42 [0.22, 9.16]"
LSD,follow_up,Vomiting,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,accident with fracture,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,follow_up,altered state of consciousness,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,anxiety,4,1.4409538682660132,0.8246922468266438,1.747262538008208,0.0805918081448678,-0.17541323384362495,3.0573209703756516,0,0,0.8522489589035378,0.8369331933358672,4.224723725538545,0.8391102003818531,21.27049647234187,,0.081,0.837,ok,"1.441 [-0.175, 3.057]","4.22 [0.84, 21.27]"
LSD,follow_up,attention disturbance,6,2.0729879059070884,0.6716069819795821,3.086608629048038,0.002024539581730471,0.7566624094614665,3.3893134023527103,0.5368290331421096,19.812770081533117,5.747280566351543,0.3315913780073921,7.9485371536673775,2.1311514264510074,29.645590688242496,**,0.002,0.332,ok,"2.073 [0.757, 3.389] **","7.95 [2.13, 29.65] **"
LSD,follow_up,depressed mood,4,1.4373794083124272,0.8246654532856956,1.7429848705138664,0.08133625762870815,-0.1789351794219345,3.053693996046789,0,0,0.8210611081417892,0.8444231445578632,4.209649576787065,0.8361600980213325,21.193488664764548,,0.081,0.844,ok,"1.437 [-0.179, 3.054]","4.21 [0.84, 21.19]"
LSD,follow_up,depression,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,follow_up,dizziness,5,0.4642761257636457,0.7675471461730351,0.6048828766786656,0.5452568214082305,-1.0400886371720033,1.9686408886992945,0,0,0.5511527017444418,0.9683339761741494,1.5908621878341,0.35342335412376585,7.160937360676,,0.545,0.968,ok,"0.464 [-1.040, 1.969]","1.59 [0.35, 7.16]"
LSD,follow_up,emotional distress,4,0.3535238141631896,0.9497084599514369,0.37224456669709666,0.7097107669721845,-1.507870563154627,2.214918191481006,0,0,0.3059148668321517,0.9589122421560295,1.4240768997472493,0.22138089301994887,9.160659660953629,,0.710,0.959,ok,"0.354 [-1.508, 2.215]","1.42 [0.22, 9.16]"
LSD,follow_up,euphoric mood,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,fatigue,2,2.653982979831934,0.7712550213724397,3.441122464407688,5.793062737408145e-4,1.1423509150462825,4.165615044617585,0,0,0,1,14.210526315789467,3.134127779271263,64.43229899793657,***,<0.001,1.000,ok,"2.654 [1.142, 4.166] ***","14.21 [3.13, 64.43] ***"
LSD,follow_up,feeling abnormal,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,hallucination visual,4,0.3563934795937728,0.9497302742579674,0.3752575749701421,0.7074689147784747,-1.505043652979191,2.2178306121667366,0,0,0.3246810399190461,0.9553217355016445,1.4281693932320187,0.22200760232717476,9.187378244637019,,0.707,0.955,ok,"0.356 [-1.505, 2.218]","1.43 [0.22, 9.19]"
LSD,follow_up,headache,6,2.370700523957032,0.5487046880779427,4.320539947018418,1.556478750364675e-5,1.2952590971759799,3.4461419507380837,0,0,1.7451413631234165,0.8831643554864067,10.704888689082916,3.6519420594464083,31.379096376744414,***,<0.001,0.883,ok,"2.371 [1.295, 3.446] ***","10.70 [3.65, 31.38] ***"
LSD,follow_up,hypertension,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,illusion,4,0.9002200020046915,0.8603885342746186,1.0462947449243432,0.29542497091530984,-0.7861105378847666,2.58655054189415,0,0,0.25880234216902903,0.9675807887557588,2.460144288299995,0.4556134447376638,13.283870327268177,,0.295,0.968,ok,"0.900 [-0.786, 2.587]","2.46 [0.46, 13.28]"
LSD,follow_up,impaired gait,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,follow_up,lack of appetite,4,0.8388731020338005,0.8874442400532198,0.9452685184857288,0.3445218063987757,-0.9004856467580282,2.5782318508256292,0,0,0.6414389839617336,0.8868837250339057,2.313758137769754,0.40637225844096386,13.173824268010387,,0.345,0.887,ok,"0.839 [-0.900, 2.578]","2.31 [0.41, 13.17]"
LSD,follow_up,nausea,5,0.7902763936330137,0.7245153730807807,1.0907655282352455,0.2753760683874146,-0.6297476438509169,2.210300431116944,0,0,0.650431091963658,0.957298117441291,2.20400551516943,0.5327262207829477,9.11845544932628,,0.275,0.957,ok,"0.790 [-0.630, 2.210]","2.20 [0.53, 9.12]"
LSD,follow_up,panic_attack,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,follow_up,paresthesia,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,perspiration,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360238e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,temperature perception disturbances,4,0.35352381416318923,0.9497084599514364,0.3722445666970965,0.7097107669721846,-1.507870563154626,2.2149181914810048,0,0,0.30591486683215163,0.9589122421560295,1.4240768997472486,0.2213808930199491,9.160659660953616,,0.710,0.959,ok,"0.354 [-1.508, 2.215]","1.42 [0.22, 9.16]"
LSD,follow_up,thinking abnormal,4,0.35352381416318923,0.9497084599514364,0.3722445666970965,0.7097107669721846,-1.507870563154626,2.2149181914810048,0,0,0.30591486683215174,0.9589122421560294,1.4240768997472486,0.2213808930199491,9.160659660953616,,0.710,0.959,ok,"0.354 [-1.508, 2.215]","1.42 [0.22, 9.16]"
LSD,session,ADHD_exacerbation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,Balance_disorder,4,-0.2155993821297113,0.47110286698319376,-0.4576482064529712,0.6472052041129122,-1.1389440344303348,0.7077452701709122,0,0,1.912501348429598,0.5907644528292699,0.8060581585008818,0.3201569180638697,2.029410324209252,,0.647,0.591,ok,"-0.216 [-1.139, 0.708]","0.81 [0.32, 2.03]"
LSD,session,COVID19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,Fatigue,4,0.1375869236774322,0.4191192593897074,0.3282763094155511,0.7427027549023268,-0.6838717299534951,0.9590455773083595,0,0,1.1156402574032296,0.7732998679682369,1.1475014466826992,0.5046593004540356,2.6092050001936262,,0.743,0.773,ok,"0.138 [-0.684, 0.959]","1.15 [0.50, 2.61]"
LSD,session,Mydriasis,4,0.573300489623849,0.4052016523134466,1.4148522997146329,0.15711180612980585,-0.2208801553866273,1.3674811346343254,5.156438817466387e-7,7.587548759705972e-5,3.052151671089371,0.3836540992008008,1.7741128401650852,0.8018127674734298,3.925450550702194,,0.157,0.384,ok,"0.573 [-0.221, 1.367]","1.77 [0.80, 3.93]"
LSD,session,Pseudo_hallucination,4,-0.10316816392799724,0.4581109328479282,-0.22520345298601363,0.8218210033496416,-1.0010490932339837,0.7947127653779892,2.125353049578756e-6,2.4130308023841523e-4,1.8343098141204817,0.6074973483614953,0.9019752810210611,0.3674937037114458,2.213805024022465,,0.822,0.607,ok,"-0.103 [-1.001, 0.795]","0.90 [0.37, 2.21]"
LSD,session,Tremor,4,0.04744317743826901,0.5405727146763232,0.08776465431977341,0.9300637310903112,-1.012059874352371,1.1069462292289092,0.3004558739132996,25.482783722513577,4.224245520162409,0.23824563172953667,1.0485866160506923,0.36346950641213294,3.025106293549413,,0.930,0.238,ok,"0.047 [-1.012, 1.107]","1.05 [0.36, 3.03]"
LSD,session,Vomiting,4,-0.22560887454864711,0.4779728014738101,-0.47201195100012205,0.6369182582530029,-1.162418351027028,0.7112006019297339,0,0,2.4991932668789634,0.47543689572567394,0.7980301705433026,0.31272897721627796,2.0364347390070496,,0.637,0.475,ok,"-0.226 [-1.162, 0.711]","0.80 [0.31, 2.04]"
LSD,session,affect liability,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,altered perception of music,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,altered state of consciousness,4,-0.6093120998857497,0.63729915550895,-0.9560849008173412,0.339029342554169,-1.8583954920610828,0.6397712922895833,0.4186255099105972,25.213130686795132,3.4919376794144585,0.3218092831562251,0.5437247687874974,0.15592260883188014,1.8960471891012336,,0.339,0.322,ok,"-0.609 [-1.858, 0.640]","0.54 [0.16, 1.90]"
LSD,session,anemia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,anger,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,anxiety,7,0.020871840181930505,0.356587030936135,0.05853224702854846,0.9533246771029105,-0.678025897806964,0.7197695781708251,0,0,3.184713656278019,0.7853317950019151,1.021091180391579,0.5076180938944953,2.0539598789206486,,0.953,0.785,ok,"0.021 [-0.678, 0.720]","1.02 [0.51, 2.05]"
LSD,session,anxiety_worsening,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,attention disturbance,5,-0.7604762750827885,0.6632545030097045,-1.1465829054034504,0.25155404489071415,-2.0604312135658223,0.5394786634002451,0.5643530041714958,25.416885142634445,4.232076046099822,0.37550792883429307,0.4674437421774956,0.12739902186200422,1.7151124781599913,,0.252,0.376,ok,"-0.760 [-2.060, 0.539]","0.47 [0.13, 1.72]"
LSD,session,bradyphrenia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,chills,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,depersonalization,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,depressed mood,4,-0.4569955188833145,0.505020910211262,-0.9049041527649669,0.3655161668142142,-1.4468183143370243,0.5328272765703954,0,0,1.938420799681293,0.5852855481737135,0.6331831774241038,0.23531780556860107,1.7037424567347736,,0.366,0.585,ok,"-0.457 [-1.447, 0.533]","0.63 [0.24, 1.70]"
LSD,session,depression,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,depression_worsening,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,derealization,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,dizziness,6,0.0021994717925337814,0.28998876522487654,0.007584679326553099,0.9939483594892424,-0.5661680639694655,0.570567007554533,0,0,2.124869219546725,0.8316111742438563,1.0022018924049811,0.5676966533252567,1.7692699565108383,,0.994,0.832,ok,"0.002 [-0.566, 0.571]","1.00 [0.57, 1.77]"
LSD,session,emotional distress,5,-0.3599515989433048,0.49679266378798415,-0.724550954916921,0.4687275564775879,-1.3336473277514695,0.6137441298648598,2.3693088583583975e-7,1.8087097857311435e-5,4.097601950136996,0.3929579836459915,0.6977100951596673,0.2635143830787115,1.8473351291124986,,0.469,0.393,ok,"-0.360 [-1.334, 0.614]","0.70 [0.26, 1.85]"
LSD,session,euphoric mood,4,0.7326682647888213,0.38714391845782564,1.8924958648643633,0.05842494408232133,-0.026119872222228335,1.491456401799871,1.692702890142686e-8,2.7844540661539442e-6,2.853406261910735,0.41478358594132575,2.0806248656783266,0.974218300896364,4.443562420964487,,0.058,0.415,ok,"0.733 [-0.026, 1.491]","2.08 [0.97, 4.44]"
LSD,session,fatigue,2,-0.9772372036436794,0.6030725491155695,-1.6204305851374559,0.10513981424444788,-2.159237679974958,0.20476327268759964,0,0,3.848632516632701e-4,0.9843481590058033,0.37634944069084253,0.1154130692052856,1.2272345106460731,,0.105,0.984,ok,"-0.977 [-2.159, 0.205]","0.38 [0.12, 1.23]"
LSD,session,feeling abnormal,5,-0.7039342837589087,0.5685064405028475,-1.2382169024088354,0.21563564589276102,-1.8181864321235526,0.41031786460573527,1.9112323391201314e-7,1.1219386744561124e-5,5.442656637658044,0.2448161791262191,0.4946354344804727,0.16231986224573366,1.5072968252849577,,0.216,0.245,ok,"-0.704 [-1.818, 0.410]","0.49 [0.16, 1.51]"
LSD,session,feeling of relaxation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,feeling_intoxicated,2,-1.165670412150037,0.8327933226818734,-1.3997115255393593,0.16159972101240344,-2.7979153311719527,0.4665745068718785,0,0,2.4321641999489705e-4,0.9875571775818857,0.3117136153716886,0.060936963694598466,1.5945228005625405,,0.162,0.988,ok,"-1.166 [-2.798, 0.467]","0.31 [0.06, 1.59]"
LSD,session,femur fracture,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,hallucination,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,hallucination visual,4,1.018766270977025,0.36391189493082193,2.799486043649901,0.005118402910967909,0.30551206336688996,1.7320204785871602,0,0,0.4399519971221445,0.9318711346165137,2.7697755027522315,1.3573198588628022,5.652062250141901,**,0.005,0.932,ok,"1.019 [0.306, 1.732] **","2.77 [1.36, 5.65] **"
LSD,session,headache,8,0.3381292151650788,0.39766907850189565,0.850277865301682,0.395170619780965,-0.441287856463868,1.1175462867940256,0.6102240874687193,51.04772913815128,13.808996949142431,0.054684699952012014,1.4023216929278968,0.6432075284771982,3.057343148815266,,0.395,0.055,ok,"0.338 [-0.441, 1.118]","1.40 [0.64, 3.06]"
LSD,session,hypertension,4,0.2921672599514989,0.4012578155320388,0.7281285214696847,0.4665349159822193,-0.4942836070065138,1.0786181269095116,0,0,0.22157386003465956,0.9740336177766297,1.3393270146774208,0.6100077560823509,2.940613187879811,,0.467,0.974,ok,"0.292 [-0.494, 1.079]","1.34 [0.61, 2.94]"
LSD,session,illusion,4,2.6026657753910314,0.40279152862352857,6.461570292417019,1.0362200106905964e-10,1.8132088860110813,3.3921226647709815,0.17339214758907445,26.71735313409292,4.134328602410906,0.24731963437468346,13.499677218138624,6.130086654678429,29.728990022489487,***,<0.001,0.247,ok,"2.603 [1.813, 3.392] ***","13.50 [6.13, 29.73] ***"
LSD,session,illusions,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,impaired gait,3,0.1841865625046257,0.3797069367451843,0.48507557982336935,0.6276227338217877,-0.5600253581959639,0.9283984832052153,0,0,1.4980825069869061,0.47281964969111673,1.2022400950985808,0.5711945792010905,2.5304533671944993,,0.628,0.473,ok,"0.184 [-0.560, 0.928]","1.20 [0.57, 2.53]"
LSD,session,lack of appetite,4,-1.0263455978821916,0.5776899037416611,-1.7766375891886217,0.07562788687263101,-2.158597003448258,0.10590580768387459,0,0,0.8384044349891788,0.8402608432215072,0.3583139943207969,0.11548703534125335,1.1117171563608577,,0.076,0.840,ok,"-1.026 [-2.159, 0.106]","0.36 [0.12, 1.11]"
LSD,session,menorrhagia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,mydriasis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,nausea,5,1.431599319729257,0.5299387084832426,2.7014431986421426,0.006903927185879943,0.39293853708843063,2.470260102370083,0.8567603029261076,61.299475184922095,10.196593021608692,0.03724315761752474,4.185387615021377,1.4813273398399158,11.825522298040767,**,0.007,0.037,ok,"1.432 [0.393, 2.470] **","4.19 [1.48, 11.83] **"
LSD,session,neoplasm progression,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,palmar-plantar erythrodysaesthesia syndrome,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,paresthesia,4,0.08312107189629031,0.47027428690186635,0.17675019496363714,0.8597046116434408,-0.8385995932866241,1.0048417370792047,0.12454859493645279,13.912345982969017,2.9519132202369427,0.3990987881462401,1.0866733661892036,0.4323155172641658,2.731474947413031,,0.860,0.399,ok,"0.083 [-0.839, 1.005]","1.09 [0.43, 2.73]"
LSD,session,perseveration,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,perspiration,5,0.5250255839843642,0.3974429728338213,1.3210085971349848,0.18649849766254448,-0.2539483286784566,1.3039994966471848,0,0,3.195418632152751,0.525671234216218,1.690502097605078,0.7757318841025356,3.684001393488458,,0.186,0.526,ok,"0.525 [-0.254, 1.304]","1.69 [0.78, 3.68]"
LSD,session,pneumonia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,pruritus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,serious ae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,skin lesion,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,sleep disorder,2,-1.1052428095520312,0.45825916780738135,-2.411829129006306,0.01587271840874928,-2.0034142740397956,-0.20707134506426694,0,0,0.08267637237827062,0.7737027118374475,0.3311304708387594,0.13487399941518677,0.8129616471175262,*,0.016,0.774,ok,"-1.105 [-2.003, -0.207] *","0.33 [0.13, 0.81] *"
LSD,session,tachyphrenia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,session,temperature perception disturbances,5,-0.41319312449889856,0.7369809186735599,-0.5606564756691066,0.5750317435027783,-1.8576491823923185,1.0312629333945211,1.08606311022328,40.83464411829293,7.1893150007580235,0.12621565533224707,0.6615345119692758,0.15603901881597554,2.8046056290737376,,0.575,0.126,ok,"-0.413 [-1.858, 1.031]","0.66 [0.16, 2.80]"
LSD,session,thinking abnormal,5,0.018354567720344158,0.42859822933684494,0.04282464663641644,0.9658413168341584,-0.8216825256175102,0.8583916610581985,0,0,1.837145176530325,0.7656798688894637,1.018524048123679,0.43969124002236815,2.359362985156293,,0.966,0.766,ok,"0.018 [-0.822, 0.858]","1.02 [0.44, 2.36]"
LSD,session,time perception altered,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
MDMA,follow_up,anxiety,4,1.5963171073427422,0.5300745968119982,3.011495206416973,0.0025996450729486426,0.5573899884716358,2.6352442262138487,0,0,2.311999562580352,0.51022600793061,4.9348244871678855,1.7461091826342945,13.946718201442604,**,0.003,0.510,ok,"1.596 [0.557, 2.635] **","4.93 [1.75, 13.95] **"
MDMA,follow_up,autonomic,2,-0.28347772503126223,0.776070125856823,-0.36527333753285196,0.7149073789749563,-1.804547221188102,1.2375917711255777,0,0,0.7719009161656354,0.3796296303745021,0.7531598985664117,0.16454894398807965,3.4473015691286406,,0.715,0.380,ok,"-0.283 [-1.805, 1.238]","0.75 [0.16, 3.45]"
MDMA,follow_up,decreased concentration,3,0.6043019856236972,0.5797263417957345,1.042391801193367,0.2972300661285858,-0.5319407651850997,1.740544736432494,0,0,0.04988989255754542,0.9753636079464061,1.8299744145286314,0.5874637334394192,5.700447818664784,,0.297,0.975,ok,"0.604 [-0.532, 1.741]","1.83 [0.59, 5.70]"
MDMA,follow_up,depression,3,1.0673657246008708,0.5765796881572768,1.851202438317112,0.06414043511942856,-0.06270969840472707,2.197441147606469,0,0,1.9242082095231656,0.3820880862189762,2.9077096941068663,0.9392160900459834,9.001949343509551,,0.064,0.382,ok,"1.067 [-0.063, 2.197]","2.91 [0.94, 9.00]"
MDMA,follow_up,dissociation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
MDMA,follow_up,dizziness,2,0.5496772855164663,0.7113590247510201,0.7727142924894453,0.43969148620395665,-0.8445607830730698,1.9439153541060024,0,0,0.03675247121073725,0.8479698890903745,1.732693762259697,0.42974606851289854,6.986050353322902,,0.440,0.848,ok,"0.550 [-0.845, 1.944]","1.73 [0.43, 6.99]"
MDMA,follow_up,fatigue,4,2.4721711164196667,0.5566780655338623,4.440935020582891,8.95688404661103e-6,1.3811021569898687,3.563240075849465,0,0,1.0108950031417305,0.7986157110333563,11.848142644311674,3.9792850082506757,35.27731334370249,***,<0.001,0.799,ok,"2.472 [1.381, 3.563] ***","11.85 [3.98, 35.28] ***"
MDMA,follow_up,headache,4,0.7812090916308784,0.5160758822056122,1.5137484981707268,0.13008963936918785,-0.2302810507818568,1.7926992340436136,0,0,0.3354893012827576,0.9532213727758598,2.1841114605502128,0.794310329590122,6.005641239197233,,0.130,0.953,ok,"0.781 [-0.230, 1.793]","2.18 [0.79, 6.01]"
MDMA,follow_up,infectious,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
MDMA,follow_up,irritability,3,0.7313932222504895,0.6536015868962615,1.1190199609576148,0.2631316234732361,-0.5496423483044093,2.0124287928053883,0,0,0.594267091474497,0.7429447886271018,2.077973671020437,0.5771561943630307,7.4814662298125665,,0.263,0.743,ok,"0.731 [-0.550, 2.012]","2.08 [0.58, 7.48]"
