Molecule,Adverse event,Model,Term,<ce><b2> (log-OR),95% CI (log-OR),OR [95% CI],z,p,Stars,k,I<c2><b2> (%),<cf><84><c2><b2>,QE,QM,QMp
PSILOCYBIN,dizziness,linear,dose_diff,0.034,,,NA,0.270,,6,,,NA,NA,NA
LSD,emotional distress,linear,dose_diff,-0.000,,,NA,0.951,,5,,,NA,NA,NA
LSD,euphoric mood,linear,dose_diff,0.004,,,NA,0.505,,4,,,NA,NA,NA
MDMA,fatigue,linear,dose_diff,0.017,,,NA,0.196,,11,,,NA,NA,NA
PSILOCYBIN,fatigue,linear,dose_diff,0.017,,,NA,0.760,,7,,,NA,NA,NA
LSD,feeling abnormal,linear,dose_diff,-0.015,,,NA,0.118,,5,,,NA,NA,NA
LSD,hallucination visual,linear,dose_diff,-0.001,,,NA,0.830,,4,,,NA,NA,NA
LSD,headache,linear,dose_diff,0.010,,,NA,0.024,*,7,,,NA,NA,NA
MDMA,headache,linear,dose_diff,0.019,,,NA,0.232,,11,,,NA,NA,NA
PSILOCYBIN,headache,linear,dose_diff,0.059,,,NA,0.014,*,11,,,NA,NA,NA
LSD,hypertension,linear,dose_diff,0.000,,,NA,0.958,,4,,,NA,NA,NA
PSILOCYBIN,hypertension,linear,dose_diff,-0.024,,,NA,0.716,,6,,,NA,NA,NA
LSD,illusion,linear,dose_diff,0.010,,,NA,0.049,*,4,,,NA,NA,NA
PSILOCYBIN,illusion,linear,dose_diff,0.025,,,NA,0.478,,4,,,NA,NA,NA
LSD,impaired gait,linear,dose_diff,15.912,,,NA,0.336,,3,,,NA,NA,NA
MDMA,irritability,linear,dose_diff,-0.012,,,NA,0.857,,5,,,NA,NA,NA
MDMA,jaw tension,linear,dose_diff,0.027,,,NA,0.032,*,12,,,NA,NA,NA
LSD,lack of appetite,linear,dose_diff,0.004,,,NA,0.558,,4,,,NA,NA,NA
MDMA,lack of appetite,linear,dose_diff,0.033,,,NA,0.216,,8,,,NA,NA,NA
PSILOCYBIN,migraine,linear,dose_diff,-0.094,,,NA,0.437,,3,,,NA,NA,NA
MDMA,muscle tension,linear,dose_diff,0.022,,,NA,0.233,,8,,,NA,NA,NA
PSILOCYBIN,myalgia,linear,dose_diff,-0.062,,,NA,0.381,,3,,,NA,NA,NA
LSD,nausea,linear,dose_diff,0.013,,,NA,0.015,*,4,,,NA,NA,NA
MDMA,nausea,linear,dose_diff,0.022,,,NA,0.130,,9,,,NA,NA,NA
PSILOCYBIN,nausea,linear,dose_diff,0.053,,,NA,0.036,*,10,,,NA,NA,NA
MDMA,ophthalmological,linear,dose_diff,-0.009,,,NA,0.917,,4,,,NA,NA,NA
MDMA,pain,linear,dose_diff,0.013,,,NA,0.458,,7,,,NA,NA,NA
PSILOCYBIN,palpitations,linear,dose_diff,0.040,,,NA,0.320,,4,,,NA,NA,NA
PSILOCYBIN,panic reaction,linear,dose_diff,0.083,,,NA,0.627,,4,,,NA,NA,NA
LSD,paresthesia,linear,dose_diff,0.010,,,NA,0.108,,4,,,NA,NA,NA
PSILOCYBIN,paresthesia,linear,dose_diff,0.014,,,NA,0.859,,4,,,NA,NA,NA
LSD,perspiration,linear,dose_diff,0.004,,,NA,0.559,,5,,,NA,NA,NA
MDMA,perspiration,linear,dose_diff,0.034,,,NA,0.203,,6,,,NA,NA,NA
PSILOCYBIN,physical pain,linear,dose_diff,0.008,,,NA,0.825,,5,,,NA,NA,NA
LSD,pseudohallucination,linear,dose_diff,0.006,,,NA,0.416,,4,,,NA,NA,NA
MDMA,restlessness,linear,dose_diff,0.016,,,NA,0.299,,9,,,NA,NA,NA
PSILOCYBIN,restlessness,linear,dose_diff,0.018,,,NA,0.609,,4,,,NA,NA,NA
MDMA,rumination,linear,dose_diff,-0.043,,,NA,0.404,,6,,,NA,NA,NA
MDMA,sleep disorder,linear,dose_diff,0.019,,,NA,0.215,,14,,,NA,NA,NA
PSILOCYBIN,sleep disorder,linear,dose_diff,-0.072,,,NA,0.515,,4,,,NA,NA,NA
PSILOCYBIN,suicidal ideation,linear,dose_diff,0.013,,,NA,0.853,,8,,,NA,NA,NA
PSILOCYBIN,tachycardia,linear,dose_diff,0.142,,,NA,0.074,,3,,,NA,NA,NA
LSD,temperature perception disturbances,linear,dose_diff,-0.011,,,NA,0.290,,5,,,NA,NA,NA
PSILOCYBIN,temperature perception disturbances,linear,dose_diff,-0.008,,,NA,0.810,,3,,,NA,NA,NA
LSD,thinking abnormal,linear,dose_diff,0.006,,,NA,0.299,,5,,,NA,NA,NA
MDMA,weakness,linear,dose_diff,0.049,,,NA,0.481,,3,,,NA,NA,NA
MDMA,xerostomia,linear,dose_diff,0.027,,,NA,0.636,,4,,,NA,NA,NA
PSILOCYBIN,abdominal pain,spline_df3,dose_diff,,,,NA,0.232,,6,,,NA,NA,NA
LSD,anxiety,spline_df3,dose_diff,,,,NA,0.790,,5,,,NA,NA,NA
MDMA,anxiety,spline_df3,dose_diff,,,,NA,0.340,,14,,,NA,NA,NA
PSILOCYBIN,anxiety,spline_df3,dose_diff,,,,NA,0.035,*,9,,,NA,NA,NA
LSD,attention disturbance,spline_df3,dose_diff,,,,NA,0.525,,5,,,NA,NA,NA
MDMA,autonomic,spline_df3,dose_diff,,,,NA,0.448,,5,,,NA,NA,NA
MDMA,depression,spline_df3,dose_diff,,,,NA,0.027,*,7,,,NA,NA,NA
LSD,dizziness,spline_df3,dose_diff,,,,NA,0.890,,6,,,NA,NA,NA
MDMA,dizziness,spline_df3,dose_diff,,,,NA,0.229,,6,,,NA,NA,NA
PSILOCYBIN,dizziness,spline_df3,dose_diff,,,,NA,0.664,,6,,,NA,NA,NA
LSD,emotional distress,spline_df3,dose_diff,,,,NA,0.256,,5,,,NA,NA,NA
MDMA,fatigue,spline_df3,dose_diff,,,,NA,0.616,,11,,,NA,NA,NA
PSILOCYBIN,fatigue,spline_df3,dose_diff,,,,NA,0.146,,7,,,NA,NA,NA
LSD,feeling abnormal,spline_df3,dose_diff,,,,NA,0.372,,5,,,NA,NA,NA
LSD,headache,spline_df3,dose_diff,,,,NA,0.024,*,7,,,NA,NA,NA
MDMA,headache,spline_df3,dose_diff,,,,NA,0.683,,11,,,NA,NA,NA
PSILOCYBIN,headache,spline_df3,dose_diff,,,,NA,0.017,*,11,,,NA,NA,NA
PSILOCYBIN,hypertension,spline_df3,dose_diff,,,,NA,0.100,,6,,,NA,NA,NA
PSILOCYBIN,illusion,spline_df3,dose_diff,,,,NA,0.339,,4,,,NA,NA,NA
MDMA,irritability,spline_df3,dose_diff,,,,NA,0.155,,5,,,NA,NA,NA
MDMA,jaw tension,spline_df3,dose_diff,,,,NA,0.150,,12,,,NA,NA,NA
MDMA,lack of appetite,spline_df3,dose_diff,,,,NA,0.744,,8,,,NA,NA,NA
MDMA,muscle tension,spline_df3,dose_diff,,,,NA,0.012,*,8,,,NA,NA,NA
MDMA,nausea,spline_df3,dose_diff,,,,NA,0.594,,9,,,NA,NA,NA
PSILOCYBIN,nausea,spline_df3,dose_diff,,,,NA,0.113,,10,,,NA,NA,NA
MDMA,ophthalmological,spline_df3,dose_diff,,,,NA,0.093,,4,,,NA,NA,NA
MDMA,pain,spline_df3,dose_diff,,,,NA,0.079,,7,,,NA,NA,NA
PSILOCYBIN,palpitations,spline_df3,dose_diff,,,,NA,0.569,,4,,,NA,NA,NA
PSILOCYBIN,panic reaction,spline_df3,dose_diff,,,,NA,0.611,,4,,,NA,NA,NA
PSILOCYBIN,paresthesia,spline_df3,dose_diff,,,,NA,0.465,,4,,,NA,NA,NA
LSD,perspiration,spline_df3,dose_diff,,,,NA,0.511,,5,,,NA,NA,NA
MDMA,perspiration,spline_df3,dose_diff,,,,NA,0.054,,6,,,NA,NA,NA
MDMA,restlessness,spline_df3,dose_diff,,,,NA,0.649,,9,,,NA,NA,NA
PSILOCYBIN,restlessness,spline_df3,dose_diff,,,,NA,0.736,,4,,,NA,NA,NA
MDMA,rumination,spline_df3,dose_diff,,,,NA,0.498,,6,,,NA,NA,NA
MDMA,sleep disorder,spline_df3,dose_diff,,,,NA,0.350,,14,,,NA,NA,NA
PSILOCYBIN,sleep disorder,spline_df3,dose_diff,,,,NA,0.770,,4,,,NA,NA,NA
PSILOCYBIN,suicidal ideation,spline_df3,dose_diff,,,,NA,0.365,,8,,,NA,NA,NA
LSD,temperature perception disturbances,spline_df3,dose_diff,,,,NA,0.774,,5,,,NA,NA,NA
LSD,thinking abnormal,spline_df3,dose_diff,,,,NA,0.662,,5,,,NA,NA,NA
MDMA,xerostomia,spline_df3,dose_diff,,,,NA,0.464,,4,,,NA,NA,NA
