Molecule,Adverse event,Window,k,OR [95% CI],log(OR) [95% CI],p,Stars,τ²,I²,Q,p(Q),Status
LSD,fatigue,follow_up,2,"14.21 [3.13, 64.43] ***","2.654 [1.142, 4.166] ***",<0.001,***,0,0,0,1.000,ok
LSD,feeling abnormal,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,hallucination visual,follow_up,4,"1.43 [0.22, 9.19]","0.356 [-1.505, 2.218]",0.707,,0,0,0.3246810399190461,0.955,ok
LSD,headache,follow_up,6,"10.70 [3.65, 31.38] ***","2.371 [1.295, 3.446] ***",<0.001,***,0,0,1.7451413631234165,0.883,ok
LSD,hypertension,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,illusion,follow_up,4,"2.46 [0.46, 13.28]","0.900 [-0.786, 2.587]",0.295,,0,0,0.25880234216902903,0.968,ok
LSD,impaired gait,follow_up,1,,,,,NA,NA,NA,,insufficient_k
LSD,lack of appetite,follow_up,4,"2.31 [0.41, 13.17]","0.839 [-0.900, 2.578]",0.345,,0,0,0.6414389839617336,0.887,ok
LSD,nausea,follow_up,5,"2.20 [0.53, 9.12]","0.790 [-0.630, 2.210]",0.275,,0,0,0.650431091963658,0.957,ok
LSD,panic_attack,follow_up,1,,,,,NA,NA,NA,,insufficient_k
LSD,paresthesia,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,perspiration,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,temperature perception disturbances,follow_up,4,"1.42 [0.22, 9.16]","0.354 [-1.508, 2.215]",0.710,,0,0,0.30591486683215163,0.959,ok
LSD,thinking abnormal,follow_up,4,"1.42 [0.22, 9.16]","0.354 [-1.508, 2.215]",0.710,,0,0,0.30591486683215174,0.959,ok
MDMA,anxiety,follow_up,4,"4.93 [1.75, 13.95] **","1.596 [0.557, 2.635] **",0.003,**,0,0,2.311999562580352,0.510,ok
MDMA,autonomic,follow_up,2,"0.75 [0.16, 3.45]","-0.283 [-1.805, 1.238]",0.715,,0,0,0.7719009161656354,0.380,ok
MDMA,decreased concentration,follow_up,3,"1.83 [0.59, 5.70]","0.604 [-0.532, 1.741]",0.297,,0,0,0.04988989255754542,0.975,ok
MDMA,depression,follow_up,3,"2.91 [0.94, 9.00]","1.067 [-0.063, 2.197]",0.064,,0,0,1.9242082095231656,0.382,ok
MDMA,dissociation,follow_up,1,,,,,NA,NA,NA,,insufficient_k
MDMA,dizziness,follow_up,2,"1.73 [0.43, 6.99]","0.550 [-0.845, 1.944]",0.440,,0,0,0.03675247121073725,0.848,ok
MDMA,fatigue,follow_up,4,"11.85 [3.98, 35.28] ***","2.472 [1.381, 3.563] ***",<0.001,***,0,0,1.0108950031417305,0.799,ok
MDMA,headache,follow_up,4,"2.18 [0.79, 6.01]","0.781 [-0.230, 1.793]",0.130,,0,0,0.3354893012827576,0.953,ok
MDMA,infectious,follow_up,1,,,,,NA,NA,NA,,insufficient_k
MDMA,irritability,follow_up,3,"2.08 [0.58, 7.48]","0.731 [-0.550, 2.012]",0.263,,0,0,0.594267091474497,0.743,ok
MDMA,jaw tension,follow_up,2,"1.38 [0.34, 5.62]","0.320 [-1.086, 1.726]",0.655,,0,0,0.2591261746693648,0.611,ok
MDMA,lack of appetite,follow_up,4,"1.58 [0.55, 4.50]","0.455 [-0.594, 1.505]",0.395,,0,0,2.2487858939531464,0.522,ok
MDMA,muscle tension,follow_up,3,"1.98 [0.52, 7.44]","0.681 [-0.645, 2.007]",0.314,,0,0,0.8902765729948003,0.641,ok
MDMA,nausea,follow_up,2,"1.08 [0.26, 4.55]","0.074 [-1.365, 1.514]",0.919,,0,0,0.5699807682622494,0.450,ok
MDMA,ophthalmological,follow_up,2,"0.25 [0.04, 1.70]","-1.370 [-3.267, 0.528]",0.157,,0,0,0.6494399761265087,0.420,ok
MDMA,pain,follow_up,1,,,,,NA,NA,NA,,insufficient_k
MDMA,perspiration,follow_up,1,,,,,NA,NA,NA,,insufficient_k
MDMA,restlessness,follow_up,2,"0.65 [0.14, 3.02]","-0.435 [-1.974, 1.105]",0.580,,0,0,0.6099180566873896,0.435,ok
MDMA,rumination,follow_up,2,"1.44 [0.35, 5.88]","0.364 [-1.043, 1.771]",0.612,,0,0,6.191404305651104e-4,0.980,ok
MDMA,sleep disorder,follow_up,8,"3.83 [1.83, 8.04] ***","1.344 [0.603, 2.085] ***",<0.001,***,0,0,5.8481625879067805,0.558,ok
MDMA,weakness,follow_up,2,"1.08 [0.26, 4.55]","0.074 [-1.365, 1.514]",0.919,,0,0,0.5699807682622494,0.450,ok
MDMA,xerostomia,follow_up,2,"0.54 [0.11, 2.60]","-0.608 [-2.171, 0.956]",0.446,,0,0,0.4473336534607459,0.504,ok
